gene,cases_synonymous,cases_missense,cases_PTVs,control_synonymous,control_missense,control_PTVs,sample_synonymous,sample_missense,sample_PTVs,pval_synonymous,OR_synonymous,lowci_synonymous,highci_synonymous,pval_missense,OR_missense,lowci_missense,highci_missense,pval_PTVs,OR_PTVs,lowci_PTVs,highci_PTVs,cases_missense_MPC>=2,control_missense_MPC>=2,sample_missense_MPC>=2,pval_missense_MPC>=2,OR_missense_MPC>=2,lowci_missense_MPC>=2,highci_missense_MPC>=2
TRPV1,1,5,2,0,0,0,1,5,2,0.3301717508331197,inf,0.052018464830419324,inf,0.003916934604011342,inf,1.860234948898496,inf,0.108994485854413,inf,0.3810289196999768,inf,,,,,,,
TRPV2,7,5,0,0,0,0,7,5,0,0.00042618407311165803,inf,2.9271852990982574,inf,0.003916934604011342,inf,1.860234948898496,inf,,,,,,,,,,,
TRPV3,1,5,0,3,0,0,4,5,0,0.9999999999999998,0.6761794432770978,0.012881146261914512,8.424766244846516,0.003916934604011342,inf,1.860234948898496,inf,,,,,,,,,,,
TRPV4,5,4,2,1,0,0,6,4,2,0.01704090894186609,10.156561252304645,1.1356262876055834,479.2051644135051,0.011871559049826107,inf,1.3398046898434977,inf,0.108994485854413,inf,0.3810289196999768,inf,,,,,,,
TRPV5,4,7,0,1,2,0,5,9,0,0.04369005683308515,8.1207798198385,0.8032690926837996,399.203114621839,0.007785902933683722,7.1103398043543375,1.3530340023360312,70.31255037307136,,,,,,,,,,,
TRPV6,7,6,1,0,1,0,7,7,1,0.00042618407311165803,inf,2.9271852990982574,inf,0.006487873716412851,12.189116391382642,1.4778146974844977,559.189159820999,0.3301717508331197,inf,0.052018464830419324,inf,,,,,,,
TRRAP,4,6,0,1,1,0,5,7,0,0.04369005683308515,8.1207798198385,0.8032690926837996,399.203114621839,0.006487873716412851,12.189116391382642,1.4778146974844977,559.189159820999,,,,,,,,,,,
TRUB1,2,3,0,0,1,0,2,4,0,0.108994485854413,inf,0.3810289196999768,inf,0.1082830083029593,6.089065976923362,0.4887365991452925,319.18343169401834,,,,,,,,,,,
TRUB2,1,9,0,0,1,0,1,10,0,0.3301717508331197,inf,0.052018464830419324,inf,0.00032590626526179137,18.295350140943587,2.533494880794694,799.0242016913644,,,,,,,,,,,
TSACC,0,2,0,0,0,0,0,1,0,,,,,0.108994485854413,inf,0.3810289196999768,inf,,,,,,,,,,,
TSC1,5,8,0,1,1,0,6,9,0,0.01704090894186609,10.156561252304645,1.1356262876055834,479.2051644135051,0.0008941761120041015,16.258694234608782,2.1784503892312044,719.0997339648587,,,,,,,,,,,
TSC2,5,8,0,0,3,0,5,11,0,0.003916934604011342,inf,1.860234948898496,inf,0.008245542552674394,5.418138072935853,1.2995367105439808,31.729768254677218,,,,,,,,,,,
TSC22D1,1,0,0,0,0,0,1,0,0,0.3301717508331197,inf,0.052018464830419324,inf,,,,,,,,,,,,,,,
TSC22D2,0,1,0,0,0,0,0,1,0,,,,,0.3301717508331197,inf,0.052018464830419324,inf,,,,,,,,,,,
TSC22D3,1,1,0,0,0,0,1,1,0,0.3301717508331197,inf,0.052018464830419324,inf,0.3301717508331197,inf,0.052018464830419324,inf,,,,,,,,,,,
TSC22D4,1,1,0,0,0,0,1,1,0,0.3301717508331197,inf,0.052018464830419324,inf,0.3301717508331197,inf,0.052018464830419324,inf,,,,,,,,,,,
TSEN15,0,2,0,0,0,0,0,2,0,,,,,0.108994485854413,inf,0.3810289196999768,inf,,,,,,,,,,,
TSEN2,1,3,0,0,0,0,1,3,0,0.3301717508331197,inf,0.052018464830419324,inf,0.03597442136310939,inf,0.8385372201147251,inf,,,,,,,,,,,
TSEN34,0,1,0,0,0,0,0,1,0,,,,,0.3301717508331197,inf,0.052018464830419324,inf,,,,,,,,,,,
TSFM,1,2,0,0,0,0,1,2,0,0.3301717508331197,inf,0.052018464830419324,inf,0.108994485854413,inf,0.3810289196999768,inf,,,,,,,,,,,
TSGA10,1,5,0,0,1,1,1,6,1,0.3301717508331197,inf,0.052018464830419324,inf,0.01704090894186609,10.156561252304645,1.1356262876055834,479.2051644135051,1.0,0.0,0.0,79.02388266631878,,,,,,,
TSGA13,0,7,0,0,1,0,0,8,0,,,,,0.002425670961266237,14.223242774062946,1.8260873738401735,639.1543464747642,,,,,,,,,,,
TSHB,0,1,0,0,2,0,0,3,0,,,,,1.0,1.0143725927892049,0.0171943168231569,19.498984920552157,,,,,,,,,,,
TSHR,2,6,0,0,0,1,2,6,1,0.108994485854413,inf,0.3810289196999768,inf,0.0012921397364403988,inf,2.390602521021566,inf,1.0,0.0,0.0,79.02388266631878,,,,,,,
TSHZ1,2,2,0,0,0,0,2,2,0,0.108994485854413,inf,0.3810289196999768,inf,0.108994485854413,inf,0.3810289196999768,inf,,,,,,,,,,,
TSHZ2,0,2,0,0,0,0,0,1,0,,,,,0.108994485854413,inf,0.3810289196999768,inf,,,,,,,,,,,
TSHZ3,1,1,0,0,0,0,1,1,0,0.3301717508331197,inf,0.052018464830419324,inf,0.3301717508331197,inf,0.052018464830419324,inf,,,,,,,,,,,
TSKS,3,10,0,0,0,0,3,10,0,0.03597442136310939,inf,0.8385372201147251,inf,1.527592744342158e-05,inf,4.555566611599121,inf,,,,,,,,,,,
TSKU,2,5,0,0,1,0,2,6,0,0.108994485854413,inf,0.3810289196999768,inf,0.01704090894186609,10.156561252304645,1.1356262876055834,479.2051644135051,,,,,,,,,,,
TSLP,1,3,0,0,0,0,1,3,0,0.3301717508331197,inf,0.052018464830419324,inf,0.03597442136310939,inf,0.8385372201147251,inf,,,,,,,,,,,
TSN,1,0,0,0,0,0,1,0,0,0.3301717508331197,inf,0.052018464830419324,inf,,,,,,,,,,,,,,,
TSNARE1,0,3,0,0,0,0,0,3,0,,,,,0.03597442136310939,inf,0.8385372201147251,inf,,,,,,,,,,,
TSNAX,1,0,0,0,0,0,1,0,0,0.3301717508331197,inf,0.052018464830419324,inf,,,,,,,,,,,,,,,
TSNAXIP1,0,2,0,0,1,0,0,3,0,,,,,0.2550346148370204,4.058485292018265,0.21121917126250336,239.14629870833855,,,,,,,,,,,
TSPAN1,1,3,0,1,0,0,2,3,0,0.5513490158118259,2.0289181396024274,0.025841350361913974,159.09232933227528,0.03597442136310939,inf,0.8385372201147251,inf,,,,,,,,,,,
TSPAN11,1,4,0,0,0,0,1,4,0,0.3301717508331197,inf,0.052018464830419324,inf,0.011871559049826107,inf,1.3398046898434977,inf,,,,,,,,,,,
